Skill_vendor,Avg_Rating,Avg_Reviews,Avg_Risk_Score,high,low,medium
"abode systems, inc.",2.4,36.0,9.0,1,0,0
alarm.com,2.5,157.0,12.5,1,0,0
arcelik a.s.,3.0,2.0,14.0,1,0,0
arnoo,3.2,7.0,11.0,1,0,0
arteko electronics,4.0,5.0,7.5,0,0,1
atra - 96 ood,0.0,0.0,10.0,1,0,0
bardi smart home,5.0,1.0,11.0,1,0,0
bosma usa inc.,4.0,16.0,10.5,1,0,0
brilliant,2.0,44.0,11.0,1,0,0
brunt,5.0,1.0,11.0,2,0,0
busch-jaeger elektro gmbh,3.0,4.0,13.0,1,0,0
came s.p.a.,4.0,1.0,6.0,0,0,1
carrier corporation,1.0,14.0,9.0,1,0,0
chkincam,0.0,0.0,9.5,1,0,0
coreembedded technologies pvt ltd,5.0,2.0,11.0,1,0,0
cornelius suermann,3.0,13.0,5.0,0,0,1
cvilux,0.0,0.0,4.0,0,1,0
deltaco,5.0,1.0,10.0,1,0,0
"ebit information technology co.,ltd",1.0,16.0,1.5,0,1,0
ecobee inc,4.2,17183.0,10.5,1,0,0
fibaro,3.0,45.0,13.5,1,0,0
genie company,3.5,134.0,12.0,2,0,0
harman,5.0,1.0,1.0,0,1,0
homeseer technologies llc,3.5,419.0,12.5,1,0,0
"hong kong rise intelligent technology co.,limited",2.4,12.0,13.0,1,0,0
indigo domotics,4.8,5.0,10.5,1,0,0
intermatic inc.,3.8,10.0,11.5,1,0,0
jeramie llc,3.3,13.0,2.0,0,1,0
joaomgcd,3.0,14.0,4.5,0,0,1
"ketra, inc.",5.0,2.0,-0.5,0,1,0
kogan.com,4.5,4.0,-1.0,0,1,0
kwikset,2.1,139.0,8.0,0,0,1
lennox international,2.4,43.0,14.0,1,0,0
"lifeshield, llc",2.1,57.0,13.0,1,0,0
lifi labs inc.,2.1,1001.0,13.5,1,0,0
m.d.s wireless technologies lt,2.7,30.0,13.0,1,0,0
matthew ma,1.8,6.0,13.0,1,0,0
microchip,0.0,0.0,14.0,1,0,0
midea group,2.4333333333333336,79.66666666666667,4.0,0,3,0
"mobile integrated solutions, llc",3.4,17.0,4.5,0,0,1
"moen, inc",3.6,237.0,11.0,1,0,0
my home smart solutions,0.0,0.0,4.0,0,1,0
need to fill,2.75,42.5,6.5,1,1,0
onnectiviot llc,5.0,1.0,8.0,0,0,1
pin genie inc,1.8,105.0,10.5,1,0,0
plaid systems llc,4.4,6.0,5.5,0,0,1
razer.inc,2.4,841.0,13.5,1,0,0
reliant energy,4.5,4.0,11.5,1,0,0
"resideo technologies, inc",3.6,3177.0,10.5,1,0,0
ring,2.7,151000.0,12.0,1,0,0
roku,2.6,30.0,7.0,0,0,1
ron lisle,3.8,6.0,9.0,1,0,0
russound,3.0,12.0,12.0,1,0,0
"shenzhen mining technology co,ltd.",2.8,157.0,1.5,0,1,0
somfy systems,3.8,57.0,9.0,1,0,0
switchbee,3.2,10.0,5.0,0,0,1
tailwind,2.1,14.0,10.5,1,0,0
thesmartspeakers.com,5.0,5.0,0.0,0,1,0
thomas dantin,2.3,11.0,2.0,0,1,0
topvoiceapps.com,3.4,94.0,8.0,0,0,1
tp-link,2.1,5678.0,13.0,1,0,0
tuya inc.,2.0,8041.0,9.0,1,0,0
urc,3.75,8.0,12.25,2,0,0
"vandermey consulting, llc",3.5,18.0,7.5,0,0,1
voxx,2.9,124.0,13.0,1,0,0
vupoint solutions inc.,3.3,24.0,8.0,0,0,1
wac lighting,3.3,136.0,12.5,1,0,0
wipro,3.0,8.0,0.0,0,1,0
wiz connected lighting co. ltd.,1.9,838.0,13.5,1,0,0
x-house iot,3.5,3.0,12.5,1,0,0
yamaha corporation,2.95,134.0,12.5,2,0,0
yq home,4.0,2.0,8.0,0,0,1
yu smart home,0.0,0.0,10.5,1,0,0
zzj,1.9600000000000002,29.0,12.4,5,0,0
深圳战音科技有限公司,0.0,0.0,14.5,1,0,0
